Unnamed: 0,Wind Onshore [MW],Wind Offshore [MW],Solar [MW],Water [MW],Biomass [MW]
480,27118.73,16134.92,0.0,1465.0,4864.75
481,26943.6,16293.65,0.0,1456.0,4846.62
482,26681.99,15896.83,0.0,1488.0,4851.65
483,26303.63,15658.73,0.0,1426.0,4850.65
484,25782.57,15916.67,0.0,1490.0,4831.51
485,25358.81,15761.9,0.0,1383.0,4813.38
486,24846.4,15238.1,0.0,1393.0,4832.52
487,24446.42,14678.57,0.0,1383.0,4848.63
488,24186.97,14353.17,0.0,1418.0,4845.61
489,23510.25,13996.03,0.0,1399.0,4831.51
490,23000.0,14250.0,0.0,1384.0,4826.47
491,22859.47,14019.84,0.0,1390.0,4831.51
492,22595.69,13642.86,0.0,1459.0,4849.64
493,22368.68,13527.78,0.0,1446.0,4854.68
494,22398.95,13595.24,0.0,1499.0,4856.69
495,22091.93,13182.54,0.0,1453.0,4866.76
496,21739.52,13075.4,0.0,1455.0,4858.71
497,21624.93,12670.63,0.0,1406.0,4844.6
498,21417.37,12059.52,0.0,1366.0,4854.68
499,21170.9,11956.35,0.0,1372.0,4850.65
500,21155.76,12162.7,0.0,1513.0,4858.71
501,20809.83,11523.81,0.0,1510.0,4856.69
502,20524.44,11480.16,0.0,1477.0,4861.73
503,19975.28,10821.43,0.0,1480.0,4847.63
504,19547.19,10972.22,0.0,1481.0,4883.88
505,18695.34,10452.38,0.0,1516.0,4882.88
506,18051.04,9964.29,0.0,1428.0,4878.85
507,17408.91,9531.75,0.0,1447.0,4852.66
508,17047.85,9111.11,0.0,1394.0,4877.84
509,16740.83,8920.63,0.0,1390.0,4883.88
510,16379.77,9341.27,0.0,1402.0,4881.87
511,15880.33,9119.05,0.0,1397.0,4863.74
512,15642.51,9706.35,30.8,1379.0,4867.77
513,15261.99,9884.92,118.81,1399.0,4864.75
514,14890.11,9650.79,387.23,1444.0,4883.88
515,14554.99,9051.59,871.26,1410.0,4887.91
516,14100.96,8392.86,1641.32,1376.0,4877.84
517,13768.0,7698.41,2547.79,1370.0,4873.81
518,13419.91,7579.37,3722.68,1376.0,4888.92
519,12981.01,8130.95,4972.37,1372.0,4871.8
520,12539.95,8559.52,6076.85,1391.0,4894.96
521,12003.76,8702.38,7172.53,1392.0,4894.96
