Iron_steel,Olefin,Methanol,Ammonia
14859.35,12572.63,781.47,1191.94
14822.38,12577.52,781.77,1192.4
14808.49,12578.96,781.86,1192.54
14811.67,12591.53,782.64,1193.73
14832.22,12569.86,781.3,1191.68
14850.63,12586.72,782.34,1193.27
14872.6,12616.09,784.17,1196.06
14874.29,12606.04,783.54,1195.11
14873.13,12616.88,784.22,1196.13
14916.06,12628.95,784.97,1197.28
14889.7,12606.92,783.6,1195.19
14894.26,12608.71,783.71,1195.36
14897.17,12619.69,784.39,1196.4
14878.75,12597.46,783.01,1194.29
14860.88,12600.72,783.21,1194.6
14783.14,12571.88,781.42,1191.87
14796.77,12573.77,781.54,1192.05
14724.77,12543.38,779.65,1189.17
14638.78,12508.29,777.47,1185.84
14605.94,12458.84,774.39,1181.15
14475.55,12417.08,771.8,1177.19
14444.9,12370.81,768.92,1172.8
14341.02,12314.6,765.43,1167.48
14258.18,12279.68,763.26,1164.17
14196.62,12235.9,760.54,1160.02
14097.33,12196.34,758.08,1156.26
14006.41,12174.01,756.69,1154.15
13934.69,12129.01,753.89,1149.88
13840.47,12069.82,750.21,1144.27
13772.61,12019.59,747.09,1139.51
13754.51,12014.34,746.77,1139.01
13663.29,12013.28,746.7,1138.91
13642.39,11970.91,744.07,1134.89
13633.04,11967.78,743.87,1134.6
13592.69,11964.27,743.65,1134.26
13601.85,11951.95,742.89,1133.1
13550.14,11927.48,741.37,1130.78
13576.17,11927.39,741.36,1130.77
13571.49,11948.0,742.64,1132.72
13520.54,11959.52,743.36,1133.81
13570.72,11921.44,740.99,1130.2
13524.97,11926.15,741.28,1130.65
13530.7,11925.69,741.26,1130.61
13459.93,11919.84,740.89,1130.05
13444.13,11881.4,738.5,1126.41
13416.23,11868.72,737.71,1125.2
13368.37,11851.37,736.64,1123.56
13275.95,11803.61,733.67,1119.03
13229.1,11759.48,730.92,1114.85
13104.15,11739.13,729.66,1112.92
13026.14,11650.62,724.16,1104.53
12876.95,11601.79,721.12,1099.9
12678.54,11483.19,713.75,1088.66
12411.45,11375.91,707.08,1078.48
12331.43,11317.68,703.46,1072.96
12348.39,11327.22,704.06,1073.87
12330.2,11332.09,704.36,1074.33
12310.13,11316.19,703.37,1072.82
12322.55,11321.0,703.67,1073.28
12324.66,11334.3,704.5,1074.54
12343.86,11350.71,705.52,1076.1
12421.23,11338.46,704.76,1074.93
12444.44,11383.68,707.57,1079.22
12468.9,11382.87,707.52,1079.14
12425.44,11377.83,707.2,1078.67
12430.85,11366.08,706.47,1077.55
12388.5,11351.65,705.58,1076.18
12341.01,11324.56,703.89,1073.62
12348.3,11331.01,704.29,1074.23
12353.92,11309.64,702.96,1072.2
12348.22,11331.02,704.29,1074.23
12308.31,11306.25,702.75,1071.88
12381.38,11327.13,704.05,1073.86
12398.75,11364.58,706.38,1077.41
12502.93,11401.58,708.68,1080.92
12595.13,11459.07,712.25,1086.37
12723.38,11508.43,715.32,1091.05
12838.93,11586.6,720.18,1098.46
13009.23,11662.49,724.9,1105.65
13166.94,11762.61,731.12,1115.15
13389.85,11825.52,735.03,1121.11
