tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
330,0.9,1.8,11.88,33.84,60.0,20.7,87
331,0.9,1.8,11.88,33.84,60.0,20.7,87
332,0.9,1.8,11.88,33.84,60.0,20.7,87
333,0.9,1.8,11.88,33.84,60.0,20.7,87
334,0.9,1.8,11.88,33.84,60.0,20.7,87
335,0.9,1.8,11.88,33.84,60.0,20.7,87
336,0.9,1.8,11.88,33.84,60.0,20.7,87
337,0.9,1.8,11.88,33.84,60.0,20.7,87
338,0.9,1.8,11.88,33.84,60.0,20.7,87
339,0.9,1.8,11.88,33.84,60.0,20.7,87
340,0.9,1.8,11.88,33.84,60.0,20.7,87
341,0.9,1.8,11.88,33.84,60.0,20.7,87
342,0.9,1.8,11.88,33.84,60.0,20.7,87
343,0.9,1.8,11.88,33.84,60.0,20.7,87
344,0.9,1.8,11.88,33.84,60.0,20.7,87
345,0.9,1.8,11.88,33.84,60.0,20.7,87
346,0.9,1.8,11.88,33.84,60.0,20.7,87
347,0.9,1.8,11.88,33.84,60.0,20.7,87
348,0.9,1.8,11.88,33.84,60.0,20.7,87
349,0.9,1.8,11.88,33.84,60.0,20.7,87
350,0.9,1.8,11.88,33.84,60.0,20.7,87
351,0.9,1.8,11.88,33.84,60.0,20.7,87
352,0.9,1.8,11.88,33.84,60.0,20.7,87
353,0.9,1.8,11.88,33.84,60.0,20.7,87
354,0.9,1.8,11.88,33.84,60.0,20.7,87
355,0.9,1.8,11.88,33.84,60.0,20.7,87
356,0.9,1.8,11.88,33.84,60.0,20.7,87
357,0.9,1.8,11.88,33.84,60.0,20.7,87
358,0.9,1.8,11.88,33.84,60.0,20.7,87
359,0.9,1.8,11.88,33.84,60.0,20.7,87
360,0.9,1.8,11.88,33.84,60.0,20.7,87
361,0.9,1.8,11.88,33.84,60.0,20.7,87
362,0.9,1.8,11.88,33.84,60.0,20.7,87
363,0.9,1.8,11.88,33.84,60.0,20.7,87
364,0.9,1.8,11.88,33.84,60.0,20.7,87
365,0.9,1.8,11.88,33.84,60.0,20.7,87
366,0.9,1.8,11.88,33.84,60.0,20.7,87
367,0.9,1.8,11.88,33.84,60.0,20.7,87
368,0.9,1.8,11.88,33.84,60.0,20.7,87
369,0.9,1.8,11.88,33.84,60.0,20.7,87
370,0.9,1.8,11.88,33.84,60.0,20.7,87
371,0.9,1.8,11.88,33.84,60.0,20.7,87
372,0.9,1.8,11.88,33.84,60.0,20.7,87
373,0.9,1.8,11.88,33.84,60.0,20.7,87
