tick,Elec_x,Iron_steel
827,228.4,1.531.595.484
828,228.5,1.271.127.191
829,227.9,1.221.229.924
830,227.7,837.567.784
831,227.4,478.512.516
832,229.2,1.379.124.016
833,231.8,0
834,236.2,0
835,241.7,0
836,249.3,0
837,252.4,0
838,254.7,0
839,255.6,0
840,256.4,0
841,255.3,0
842,254.4,0
843,252.9,0
844,251.6,0
845,248.6,0
846,246.2,0
847,242.9,0
848,239.1,0
849,233.1,0
850,228.3,0
851,224.6,0
852,224.8,0
853,222.6,0
854,220,0
855,219.4,0
856,222.4,0
857,205.6,0
858,202.4,0
859,200,0
860,197,0
861,193.7,0
862,188.6,0
863,185.5,0
864,179.3,0
865,176.3,0
866,173,0
867,171.1,0
868,169.8,0
869,167.5,0
870,165.3,0
871,163.5,0
872,163.9,0
873,163.2,0
874,163,0
875,161.8,0
876,162.3,0
877,162.2,0
878,162.1,0
879,161.7,0
880,161.9,0
881,160.3,0
882,160.7,0
883,160.2,0
884,159.6,0
885,157.6,0
886,154.8,0
887,152.4,0
888,149.9,0
889,150.4,0
890,152.1,0
891,152.2,0
892,153.4,0
893,156,0
894,159.1,8.102.040.315
895,161.9,5.757.780.112
896,166,1.065.431.972
897,168.4,1.392.521.091
898,172.3,1.829.543.687
899,174.7,2.158.820.084
900,178.5,2.162.442.762
901,182.4,2.292.540.204
902,210.1,2.247.199.764
903,212.6,2.226.215.571
904,214.5,2.357.201.594
905,217.5,2.288.689.684
906,220.2,2.309.628.309
907,223.4,2.323.982.317
908,226.7,2.422.797.134
909,230.1,244.093.331
910,232.2,2.390.808.201
911,232.8,2.474.243.723
912,231.7,2.576.407.809
913,230.8,2.599.191.949
914,229,258.126.083
915,225.4,2.564.058.805
916,222.4,2.539.839.263
917,221.7,2.591.673.183
918,221.4,2.383.471.708
919,218,2.409.263.355
920,217.3,2.262.647.412
921,216.8,2.126.671.662
922,217.6,1.913.184.267
923,217.2,1.608.195.764
924,215.4,1.445.198.024
925,215.1,1.076.573.416
926,216.8,7.261.761.218
927,216.2,4.263.824.028
928,217.2,11.913.827
929,219.5,0
930,223.6,0
931,228.9,0
932,235.9,0
933,238.3,0
934,241.4,0
935,243.5,0
936,244.4,0
937,243,0
938,242.7,0
939,242.8,0
940,242.1,0
941,239.9,0
942,238.1,0
943,236.1,0
944,233.5,0
945,229.6,0
946,226.3,0
947,223.6,0
948,222.1,0
949,219.9,0
950,218.5,0
951,220,0
952,224.3,0
953,222.6,0
954,218.9,0
955,214.4,0
956,209.7,0
957,205.5,0
958,203,0
959,199.5,0
960,197.1,0
961,195,0
962,192.8,0
963,190.4,0
964,187.6,0
965,186.1,0
966,184.3,0
967,184.7,0
968,184,0
969,181.9,0
970,182.4,0
971,182.6,0
972,184.5,0
973,184.3,0
974,185.6,0
975,186.7,0
976,190.1,0
977,191.7,0
978,194.5,0
979,197,0
980,203.4,0
981,206.5,0
982,211.7,0
983,220.3,0
984,233.3,0
985,244.5,0
986,253.4,0
987,262.1,0
988,272.6,0
989,279.6,0
990,282.6,0
991,288.5,0
992,292.8,0
993,293.7,0
994,293.9,0
995,294.4,0
996,292.8,0
997,323.6,0
998,324.2,0
999,324.8,0
1000,325.3,0
1001,326.2,0
1002,326.4,0
1003,327.5,0
1004,328.4,0
1005,329.8,0
1006,302.5,0
1007,302.6,0
1008,300.9,0
1009,300.8,0
1010,302.3,0
1011,302.4,0
1012,302.2,0
1013,301.1,0
1014,300.3,0
1015,296.9,0
1016,296.5,0
1017,295.5,0
1018,294.1,0
1019,293.6,0
1020,293.8,0
1021,292.2,0
1022,291.3,0
1023,290.9,0
1024,291.8,0
1025,293,0
1026,294.9,0
1027,298.1,0
1028,301.8,0
1029,304.6,0
1030,305.1,0
1031,306,0
1032,304.5,0
1033,303.6,0
1034,302.2,0
1035,300.9,0
1036,297.6,0
1037,295.9,0
1038,293.3,0
1039,290.3,0
1040,284.6,0
1041,278.3,0
1042,274.3,0
1043,269.6,0
1044,268.4,0
1045,265.2,0
1046,262.3,0
1047,257.8,0
1048,258,0
1049,255.5,0
1050,249.5,0
1051,243.4,0
1052,238.3,0
1053,233.1,0
1054,229.6,0
1055,226,0
1056,220.8,0
1057,217.7,0
1058,215.6,0
1059,212.3,0
1060,208.9,0
1061,207.7,0
1062,206.2,0
1063,205.2,0
1064,204,0
1065,203.3,0
1066,203.4,0
1067,205.1,0
1068,205.7,0
1069,205.8,0
1070,207,0
1071,207.4,0
1072,208.5,0
1073,210.4,0
1074,212.1,0
1075,213.9,0
1076,219.7,0
1077,222.6,0
1078,227.3,0
1079,232.9,0
1080,245.9,0
1081,255.8,0
1082,263.5,0
1083,270.7,0
1084,281.2,0
1085,288.2,0
1086,291.8,0
1087,295.3,0
1088,298.5,0
1089,300.7,0
1090,300.9,0
1091,300.3,0
1092,298.6,0
1093,299.2,0
1094,299.3,0
1095,299.9,0
1096,300.4,0
1097,299.8,0
1098,301.2,0
1099,302.1,0
1100,303.1,0
1101,304.2,0
1102,303.7,0
1103,304.4,0
1104,301.4,0
1105,300.2,0
1106,302.2,0
1107,303.1,0
1108,303.4,0
1109,303.1,0
1110,301,0
1111,298.2,0
1112,298,0
1113,298.9,0
1114,297.6,0
1115,295.5,0
1116,295.5,0
1117,293.9,0
1118,292.7,0
1119,291.2,0
1120,291.9,0
1121,292.5,0
1122,293.8,0
1123,298.8,0
1124,304.2,0
1125,308.5,0
1126,309.6,0
1127,309.9,0
1128,309,0
1129,307.4,0
1130,306.6,0
1131,305.5,0
1132,304.1,0
1133,300.7,0
1134,297.9,0
1135,294.3,0
1136,288.7,0
1137,283.8,0
1138,279.6,0
1139,275.3,0
1140,272.4,0
1141,266.8,0
1142,263.5,0
1143,259.4,0
1144,259.9,0
1145,255.8,0
1146,250.1,0
1147,245.8,0
1148,241.4,0
1149,235.8,0
1150,231.8,0
1151,226.5,0
1152,222.8,0
1153,220.3,0
1154,217.9,0
1155,216.6,0
1156,213.8,0
1157,212.1,0
1158,210.9,0
1159,210,0
1160,208.5,0
1161,206.5,0
1162,206.2,0
1163,207.3,0
1164,207.8,0
1165,208.1,0
1166,209.1,0
1167,210.2,0
1168,213.5,0
1169,213.7,0
1170,216,0
1171,219.5,0
1172,225.7,0
1173,226.1,0
1174,230.6,0
1175,237.5,0
1176,249.2,0
1177,259.8,0
1178,269.3,0
1179,276.8,0
1180,286.4,0
1181,292.6,0
1182,296.6,1.157.206.489
1183,300.2,7.105.462.015
1184,303.6,1.183.522.171
1185,304.9,1.505.735.484
1186,303.5,1.796.301.627
1187,303.5,2.062.260.897
1188,300.4,217.668.285
1189,297.4,2.334.280.749
1190,299.9,2.249.728.804
1191,299.8,2.257.270.354
1192,300.1,2.237.243.095
1193,298.9,2.198.327.783
1194,299.9,224.904.528
1195,302.1,2.187.733.158
1196,303.4,2.251.779.377
1197,305.8,2.235.465.932
1198,306.1,2.503.954.242
1199,305.7,2.480.144.816
1200,301.8,2.417.055.531
1201,301.3,2.489.600.234
1202,301.9,2.514.867.845
1203,301.1,2.605.503.156
1204,302.1,2.471.236.217
1205,300.6,2.325.736.696
1206,297.2,2.404.843.232
1207,293.9,2.284.656.891
1208,293,2.173.447.502
1209,293.7,2.140.410.499
1210,294.1,1.851.689.872
1211,294.9,1.644.787.093
1212,294.6,1.239.252.179
1213,293.8,1.125.445.398
1214,296.8,8.040.295.294
1215,297.9,3.724.523.426
1216,296.7,260.194.883
1217,297.4,0
1218,300.1,0
1219,303.9,0
1220,306.9,0
1221,309.9,0
1222,311.2,0
1223,312.1,0
1224,310.7,0
1225,308,0
1226,306.9,0
1227,306.2,0
1228,303.6,0
1229,299.7,0
1230,297,0
1231,293.4,0
1232,287.3,0
1233,281.9,0
1234,276.9,0
1235,272.3,0
1236,270.1,0
1237,265.9,0
1238,262,0
1239,259.9,0
1240,259.6,0
1241,255.4,0
1242,250.9,0
1243,245.3,0
1244,241.5,0
1245,236.6,0
1246,232.3,0
1247,228.8,0
1248,224.3,0
1249,221.3,0
1250,218.5,0
1251,215.6,0
1252,213.1,0
1253,210.7,0
1254,210.4,0
1255,210.2,0
1256,207.8,0
1257,207.5,0
1258,208.4,0
1259,208.1,0
1260,210,0
1261,210,0
1262,210,0
1263,210.2,0
1264,212.6,0
1265,213.6,0
1266,215.1,0
1267,218.5,0
1268,222.2,0
1269,224.5,0
1270,228.1,0
1271,233.4,0
1272,245.2,0
1273,256.4,0
1274,265.3,0
1275,273.1,0
1276,282.7,0
1277,288,0
1278,293.5,4.764.163.751
1279,297,7.472.742.358
1280,300.3,1.043.946.527
1281,300.9,1.460.440.613
1282,300.3,1.833.325.855
1283,299.2,2.071.784.668
1284,296.8,2.114.299.874
1285,296.6,2.310.357.402
1286,294.4,2.474.198.155
1287,296.5,2.317.033.155
1288,296.8,235.651.807
1289,297,227.050.794
1290,296.9,2.168.753.969
1291,297.1,2.297.940.045
1292,297.6,2.247.495.958
1293,299.4,2.400.878.791
1294,299.5,2.350.913.171
1295,300,2.397.825.716
1296,298.2,2.482.195.388
1297,298.6,259.743.757
1298,297.2,2.489.007.846
1299,298.7,2.650.798.027
