Iron_steel,Olefin,Methanol,Ammonia
3223.4,2612.34,162.37,247.66
3227.41,2608.04,162.11,247.25
3220.09,2605.3,161.94,246.99
3213.53,2611.61,162.33,247.59
3224.1,2609.4,162.19,247.38
3218.9,2610.75,162.27,247.51
3222.01,2610.81,162.28,247.52
3216.26,2603.12,161.8,246.79
3218.92,2613.76,162.46,247.8
3221.28,2608.47,162.13,247.29
3212.85,2610.87,162.28,247.52
3217.44,2609.05,162.17,247.35
3209.28,2612.41,162.38,247.67
3219.85,2610.66,162.27,247.5
3207.42,2616.27,162.62,248.03
3216.85,2611.26,162.31,247.56
3203.69,2610.18,162.24,247.46
3221.52,2606.08,161.98,247.07
3216.48,2607.27,162.06,247.18
3217.47,2610.9,162.28,247.52
3221.91,2607.44,162.07,247.2
3220.23,2610.71,162.27,247.51
3222.54,2612.56,162.39,247.68
3227.12,2611.46,162.32,247.58
3211.77,2610.8,162.28,247.51
3219.39,2606.17,161.99,247.08
3214.32,2610.78,162.28,247.51
3214.88,2608.44,162.13,247.29
3224.51,2608.43,162.13,247.29
3220.31,2612.36,162.37,247.66
3212.93,2608.9,162.16,247.34
3220.58,2616.85,162.65,248.09
3224.49,2607.27,162.06,247.18
3219.35,2609.35,162.19,247.38
3218.3,2616.08,162.61,248.02
3224.3,2608.88,162.16,247.33
3230.92,2613.89,162.47,247.81
3210.69,2611.49,162.32,247.58
3223.91,2612.87,162.41,247.71
3220.43,2613.68,162.46,247.79
3220.46,2610.85,162.28,247.52
3218.77,2608.11,162.11,247.26
3209.71,2608.53,162.14,247.3
3225.61,2607.88,162.1,247.24
3226.48,2606.45,162.01,247.1
3222.98,2614.3,162.5,247.85
3214.56,2611.74,162.34,247.6
3218.56,2614.76,162.52,247.89
3218.5,2612.91,162.41,247.71
3223.29,2609.12,162.17,247.36
3221.85,2608.85,162.16,247.33
3212.95,2613.86,162.47,247.8
3216.52,2614.95,162.54,247.91
3215.59,2608.42,162.13,247.29
3216.97,2608.44,162.13,247.29
3218.72,2614.5,162.51,247.87
3219.11,2612.21,162.37,247.65
3214.92,2610.39,162.25,247.48
3211.05,2608.14,162.11,247.26
3220.7,2614.27,162.49,247.84
3218.91,2614.82,162.53,247.9
3222.21,2608.24,162.12,247.27
3219.18,2607.22,162.06,247.18
3218.97,2613.49,162.44,247.77
3212.22,2606.43,162.01,247.1
3216.03,2606.9,162.04,247.15
3224.69,2609.45,162.19,247.39
3228.01,2608.39,162.13,247.29
3222.6,2615.02,162.54,247.91
3216.15,2611.05,162.29,247.54
3227.37,2617.5,162.69,248.15
3216.66,2613.17,162.42,247.74
3215.73,2608.29,162.12,247.28
3218.22,2613.51,162.45,247.77
3229.92,2604.85,161.91,246.95
3223.35,2616.61,162.64,248.07
3223.13,2615.39,162.56,247.95
3228.77,2617.26,162.68,248.13
3244.68,2639.71,164.07,250.26
3254.5,2658.05,165.21,251.99
3261.59,2683.53,166.8,254.41
3289.92,2715.91,168.81,257.48
3306.73,2757.57,171.4,261.43
3340.94,2805.2,174.36,265.94
3376.53,2867.95,178.26,271.89
3428.1,2948.82,183.29,279.56
3472.19,3043.11,189.15,288.5
3542.95,3144.2,195.43,298.08
3610.64,3265.89,203.0,309.62
3666.21,3359.04,208.79,318.45
3685.63,3379.71,210.07,320.41
3701.97,3394.51,210.99,321.81
3697.95,3392.7,210.88,321.64
3714.96,3394.86,211.01,321.85
3699.75,3394.25,210.97,321.79
3709.27,3403.11,211.52,322.63
3710.23,3392.14,210.84,321.59
3719.91,3405.03,211.64,322.81
3727.7,3410.17,211.96,323.3
3739.14,3419.25,212.53,324.16
3723.18,3415.26,212.28,323.78
3727.97,3407.16,211.78,323.01
3718.05,3405.78,211.69,322.88
3715.95,3395.87,211.07,321.94
3702.48,3395.3,211.04,321.89
3693.12,3400.29,211.35,322.36
3706.84,3395.46,211.05,321.9
3708.77,3395.38,211.04,321.9
3702.61,3400.74,211.38,322.4
3719.64,3413.68,212.18,323.63
3750.09,3418.85,212.5,324.12
3781.29,3436.17,213.58,325.76
3806.6,3447.46,214.28,326.83
3852.53,3470.61,215.72,329.03
3897.01,3496.56,217.33,331.49
3958.33,3518.34,218.69,333.55
4001.08,3544.44,220.31,336.03
4065.26,3575.12,222.22,338.94
4123.54,3611.19,224.46,342.36
4170.38,3633.82,225.86,344.5
4222.8,3662.68,227.66,347.24
4270.13,3689.63,229.33,349.79
4329.13,3708.92,230.53,351.62
4355.25,3726.4,231.62,353.28
4389.08,3744.86,232.77,355.03
4407.33,3761.58,233.81,356.61
4431.94,3763.7,233.94,356.82
4436.86,3773.18,234.53,357.71
4445.33,3777.36,234.79,358.11
4462.43,3781.76,235.06,358.53
4454.51,3777.5,234.79,358.12
4451.07,3771.78,234.44,357.58
4457.81,3771.79,234.44,357.58
4446.71,3773.26,234.53,357.72
4442.55,3773.69,234.56,357.76
4443.5,3777.46,234.79,358.12
4449.67,3770.96,234.39,357.5
4455.19,3776.02,234.7,357.98
