,Iron_steel,Olefin,Methanol,Ammonia
615,51275.93,164622.26,10232.3,15606.89
616,51204.31,164679.99,10235.89,15612.36
617,51309.35,164653.39,10234.23,15609.84
618,51223.62,164828.14,10245.1,15626.41
619,51221.13,164754.68,10240.53,15619.44
620,51228.82,164976.72,10254.33,15640.49
621,51226.89,164705.97,10237.5,15614.82
622,51241.97,164946.83,10252.47,15637.66
623,51343.18,164955.6,10253.02,15638.49
624,51407.1,164993.84,10255.39,15642.11
625,51455.16,165473.69,10285.22,15687.61
626,51383.5,165482.4,10285.76,15688.43
627,51491.7,164977.96,10254.41,15640.61
628,51354.6,165146.68,10264.9,15656.61
629,51327.94,165118.72,10263.16,15653.95
