industry_demand,allBidQuantity,allCurrentSOC,price
27.91,0.0,958.6000000000003,41.18
27.83,0.0,930.7700000000002,38.36
27.84,0.0,902.9300000000002,42.05
27.76,0.0,875.1700000000002,38.36
27.82,0.0,847.3500000000001,41.96
27.73,0.0,819.6200000000001,39.47
27.71,0.0,791.9100000000001,42.2
27.67,0.0,764.2400000000001,39.47
27.76,0.0,736.4800000000001,42.05
27.87,0.0,708.6100000000001,40.81
28.26,0.0,680.3500000000001,43.77
28.62,0.0,651.7300000000001,42.29
28.98,0.0,622.7500000000001,42.75
29.17,0.0,593.5800000000002,43.77
29.23,0.0,564.3500000000001,43.03
29.28,0.0,535.0700000000002,43.77
29.2,0.0,505.8700000000001,42.75
29.16,0.0,476.7100000000001,42.85
29.1,0.0,447.61000000000007,42.29
28.96,0.0,418.6500000000001,42.05
28.78,0.0,389.87000000000006,42.05
28.49,0.0,361.38000000000005,40.81
28.29,0.0,333.09000000000003,40.81
28.11,0.0,304.98,38.92
27.51,0.0,277.47,37.83
26.79,0.0,250.68,32.33
26.51,0.0,224.17000000000002,31.35
26.08,0.0,198.09000000000003,30.06
25.77,0.0,172.32000000000002,30.06
25.46,0.0,146.86,29.84
25.09,0.0,121.77000000000001,29.34
24.75,0.0,97.02000000000001,29.28
24.76,0.0,72.26,29.69
24.42,0.0,47.84,28.55
23.92,0.0,23.92,28.28
23.43,100.0,100.49,28.08
22.95,36.61000000000013,114.15000000000012,28.08
22.6,100.0,191.55000000000013,27.92
22.15,100.0,269.4000000000001,27.56
21.75,100.0,347.6500000000001,27.6
21.49,100.0,100.04000000000018,27.22
21.24,100.0,178.80000000000018,27.59
21.02,100.0,257.7800000000002,27.22
20.72,100.0,337.0600000000002,25.4
20.42,100.0,416.64000000000016,25.3
20.32,100.0,496.32000000000016,26.42
20.14,100.0,576.1800000000002,25.12
20.01,100.0,656.1700000000002,25.18
19.83,100.0,736.3400000000001,25.07
19.71,100.0,816.6300000000001,25.13
19.79,100.0,896.8400000000001,25.17
19.8,100.0,977.0400000000002,25.3
19.76,100.0,1057.2800000000002,24.88
19.76,100.0,1137.5200000000002,25.3
19.83,100.0,1217.6900000000003,24.97
19.83,100.0,1297.8600000000004,25.18
19.97,100.0,1377.8900000000003,25.13
19.99,100.0,1457.9000000000003,25.17
20.16,100.0,1537.7400000000002,25.18
20.27,100.0,1617.4700000000003,25.13
20.6,100.0,1696.8700000000003,27.8
20.65,100.0,1776.2200000000003,25.13
20.85,45.03999999999951,1800.4099999999999,27.92
20.92,100.0,1879.4899999999998,25.18
21.47,0.0,1858.0199999999998,29.77
22.03,0.0,1835.9899999999998,28.07
22.57,0.0,1813.4199999999998,33.97
23.04,0.0,1790.3799999999999,31.11
23.73,0.0,1766.6499999999999,34.49
24.22,0.0,1742.4299999999998,37.32
24.66,0.0,1717.7699999999998,34.49
25.07,0.0,1692.6999999999998,38.71
25.45,0.0,1667.2499999999998,38.85
25.63,0.0,1641.6199999999997,38.71
25.7,0.0,1615.9199999999996,38.85
25.73,0.0,1590.1899999999996,37.57
25.8,0.0,1564.3899999999996,38.85
26.01,0.0,1538.3799999999997,38.85
26.12,0.0,1512.2599999999998,39.84
26.25,0.0,1486.0099999999998,39.99
26.38,0.0,1459.6299999999997,37.57
26.57,0.0,1433.0599999999997,41.12
26.72,0.0,1406.3399999999997,38.85
26.98,0.0,1379.3599999999997,41.72
27.13,0.0,1352.2299999999996,38.85
27.37,0.0,1324.8599999999997,41.72
27.58,0.0,1297.2799999999997,41.72
27.62,0.0,1269.6599999999999,41.35
27.36,0.0,1242.3,40.25
27.4,0.0,1214.8999999999999,41.75
27.36,0.0,1187.54,40.23
27.23,0.0,1160.31,41.35
27.07,0.0,1133.24,38.85
26.88,0.0,1106.36,39.99
26.69,0.0,1079.6699999999998,37.74
26.43,0.0,1053.2399999999998,38.85
26.32,0.0,1026.9199999999998,38.6
26.31,0.0,1000.6099999999999,41.35
26.23,0.0,974.3799999999999,37.74
26.07,0.0,948.3099999999998,40.41
26.09,0.0,922.2199999999998,38.85
26.02,0.0,896.1999999999998,39.99
26.0,0.0,870.1999999999998,38.85
26.04,0.0,844.1599999999999,41.35
26.27,0.0,817.8899999999999,39.99
26.53,0.0,791.3599999999999,42.25
26.57,0.0,764.7899999999998,40.41
26.62,0.0,738.1699999999998,41.35
26.99,0.0,711.1799999999998,41.72
27.06,0.0,684.1199999999999,41.35
27.73,0.0,656.3899999999999,44.35
28.09,0.0,628.2999999999998,44.73
28.12,0.0,600.1799999999998,44.35
28.06,0.0,572.1199999999999,43.6
27.91,0.0,544.2099999999999,42.6
27.81,0.0,516.4,41.35
27.68,0.0,488.72,42.07
27.47,0.0,461.25000000000006,39.81
27.18,0.0,434.07000000000005,38.85
26.9,0.0,407.1700000000001,38.38
26.47,0.0,380.70000000000005,33.86
25.97,0.0,354.73,32.26
25.54,0.0,329.19,31.2
25.2,0.0,303.99,29.94
24.99,0.0,279.0,31.57
24.71,0.0,254.29,29.72
24.49,0.0,229.79999999999998,30.02
24.32,0.0,205.48,29.28
24.35,0.0,181.13,31.17
24.09,0.0,157.04,29.02
23.66,0.0,133.38,29.26
23.2,0.0,110.18,28.36
22.8,0.0,87.38000000000001,28.58
22.36,0.0,65.02000000000001,28.24
21.96,0.0,43.06,27.99
21.53,0.0,21.53,27.95
21.33,0.0,781.6000000000005,27.65
21.04,0.0,760.5600000000005,27.79
20.75,100.0,839.8100000000005,25.3
20.54,0.0,819.2700000000006,27.39
20.25,100.0,899.0200000000006,25.18
20.07,0.0,878.9500000000005,26.14
