,industry_demand,optimalBidamount,elecStandByCons,elecCons,comprCons,prodH2,elecToPlantUse_kg,elecToStorage_kg,storageToPlantUse_kg,currentSOC,price,all_isRunning,isIdle,isStandBy,isColdStarted,isHotStarted
142,228.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.9,7268.805,25.3,0.0,1.0,0.0,0.0,0.0
143,229.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.8,7039.005,24.92,0.0,1.0,0.0,0.0,0.0
144,229.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.8,6809.205,25.3,0.0,1.0,0.0,0.0,0.0
145,229.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.6,6579.605,25.07,0.0,1.0,0.0,0.0,0.0
146,230.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.3,6349.305,25.12,0.0,1.0,0.0,0.0,0.0
147,228.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.9,6120.405,24.53,0.0,1.0,0.0,0.0,0.0
148,227.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.9,5892.505,25.0,0.0,1.0,0.0,0.0,0.0
149,226.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.4,5666.105,24.42,0.0,1.0,0.0,0.0,0.0
150,225.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.7,5440.405,24.65,0.0,1.0,0.0,0.0,0.0
151,224.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.8,5215.605,24.32,0.0,1.0,0.0,0.0,0.0
152,224.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.9,4990.705,24.56,0.0,1.0,0.0,0.0,0.0
153,224.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.7,4766.005,24.32,0.0,1.0,0.0,0.0,0.0
154,223.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.8,4542.205,24.56,0.0,1.0,0.0,0.0,0.0
155,223.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.2,4319.005,23.84,0.0,1.0,0.0,0.0,0.0
156,224.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.4,4094.605,24.92,0.0,1.0,0.0,0.0,0.0
157,224.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.4,3870.205,24.27,0.0,1.0,0.0,0.0,0.0
158,224.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.8,3645.405,25.0,0.0,1.0,0.0,0.0,0.0
159,225.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.3,3420.105,23.92,0.0,1.0,0.0,0.0,0.0
160,228.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.1,3192.005,25.3,0.0,1.0,0.0,0.0,0.0
161,230.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.1,2961.905,24.42,0.0,1.0,0.0,0.0,0.0
162,233.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.4,2728.505,26.59,0.0,1.0,0.0,0.0,0.0
163,237.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.8,2490.705,24.56,0.0,1.0,0.0,0.0,0.0
164,241.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.9,2248.805,26.65,0.0,1.0,0.0,0.0,0.0
165,244.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.4,2004.405,24.53,0.0,1.0,0.0,0.0,0.0
166,246.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.4,1758.005,25.18,0.0,1.0,0.0,0.0,0.0
167,247.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.8,1510.205,24.65,0.0,1.0,0.0,0.0,0.0
168,248.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.2,1262.005,25.3,0.0,1.0,0.0,0.0,0.0
169,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,1014.005,24.53,0.0,1.0,0.0,0.0,0.0
170,246.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.7,767.305,25.3,0.0,1.0,0.0,0.0,0.0
171,244.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.6,522.705,24.27,0.0,1.0,0.0,0.0,0.0
172,244.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.4,278.305,25.18,0.0,1.0,0.0,0.0,0.0
173,241.7,48.533,0.0,46.033,0.0,241.7,241.7,0.0,0.0,278.305,23.84,1.0,0.0,0.0,1.0,0.0
174,240.1,10.0,0.0,10.0,0.0,52.505,52.505,0.0,187.595,90.711,24.92,1.0,0.0,0.0,0.0,0.0
175,237.7,62.492,0.0,62.353,0.14,327.384,237.7,89.684,0.0,180.395,23.81,1.0,0.0,0.0,0.0,0.0
176,232.9,10.0,0.0,10.0,0.0,52.505,52.505,0.0,180.395,0.0,24.56,1.0,0.0,0.0,0.0,0.0
177,228.0,43.424,0.0,43.424,0.0,228.0,228.0,0.0,0.0,0.0,23.66,1.0,0.0,0.0,0.0,0.0
178,224.1,42.681,0.0,42.681,0.0,224.1,224.1,0.0,0.0,0.0,23.84,1.0,0.0,0.0,0.0,0.0
179,220.3,167.474,0.0,166.456,1.019,873.979,220.3,653.679,0.0,653.679,21.72,1.0,0.0,0.0,0.0,0.0
180,218.2,10.0,0.0,10.0,0.0,52.505,52.505,0.0,165.695,487.984,23.73,1.0,0.0,0.0,0.0,0.0
