,demand
1745,55030.79
1746,54775.7
1747,54831.16
1748,55003.04
1749,54927.0
1750,54619.38
1751,54559.65
1752,54984.15
1753,55255.7
1754,55331.58
1755,56112.31
1756,57112.270000000004
1757,57700.29
1758,58358.58
1759,59250.24
1760,60419.16
1761,61444.56
1762,62082.54
1763,62853.93
1764,63844.54
1765,64562.33
1766,65434.520000000004
1767,65681.05
1768,66078.72
1769,66357.18
1770,66698.59
1771,66646.69
1772,66871.79
1773,66817.99
1774,67098.59
1775,67108.43
1776,66479.54
1777,66186.73
1778,65662.15
1779,65146.8
1780,64761.18
1781,63833.03
1782,63478.92
1783,63019.9
1784,62725.39
1785,62317.29
1786,61949.09
1787,61697.07
1788,61881.86
1789,61991.69
1790,61787.65
1791,61759.45
1792,62187.85
1793,62542.65
1794,63161.75
1795,63971.9
1796,65772.35
1797,67036.17
1798,67950.3
1799,67913.26
1800,68114.31
1801,68066.61
1802,67949.22
1803,67590.62
1804,67037.65
1805,66473.93
1806,65880.68
1807,65356.91
1808,64139.83
1809,62880.39
1810,61932.29
1811,61175.93
1812,60868.28
1813,60484.97
1814,60041.17
1815,59869.21
1816,60633.67
1817,60158.78
1818,59626.75
1819,59205.9
1820,58879.06
1821,58569.15
1822,58086.13
1823,57590.58
1824,56750.46
1825,56176.54
1826,55771.15
1827,55502.7
1828,54629.3
1829,54402.46
1830,53986.479999999996
1831,53608.18
1832,53461.97
1833,53067.51
1834,52916.78
1835,52593.61
1836,52430.95
1837,52361.15
1838,52172.72
1839,52240.17
1840,52072.12
1841,51763.47
1842,51796.12
1843,51960.29
1844,51759.4
1845,51598.22
1846,51377.76
1847,51377.42
