,demand
1637,59780.95
1638,59260.770000000004
1639,58738.28
1640,58167.09
1641,57826.43
1642,57435.88
1643,56925.28
1644,57801.09
1645,57610.19
1646,57793.87
1647,58078.28
1648,58735.24
1649,59122.31
1650,59179.94
1651,59603.44
1652,60633.68
1653,61088.56
1654,62082.71
1655,63411.16
1656,66043.16
1657,68223.7
1658,70121.61
1659,71089.33
1660,73786.31
1661,74984.32
1662,76048.82
1663,76562.75
1664,77513.58
1665,77742.93
1666,77760.65
1667,76907.31
1668,77324.7
1669,77450.83
1670,76828.44
1671,76940.79
1672,77336.1
1673,77317.17
1674,76444.91
1675,76563.32
1676,77415.86
1677,77684.64
1678,76921.16
1679,76751.33
1680,77193.81
1681,76170.41
1682,75764.03
1683,75683.09
1684,76101.95
1685,75555.84
1686,75067.94
1687,73503.27
1688,74350.72
1689,74133.95
1690,73781.43
1691,73768.95
1692,73447.84
1693,73133.64
1694,72984.36
1695,72816.94
1696,72787.26
1697,72835.52
1698,73159.33
1699,73971.36
1700,75437.35
1701,76518.6
1702,77018.85
1703,76960.66
1704,76757.55
1705,76333.83
1706,75924.52
1707,75268.14
1708,75411.59
1709,74681.48
1710,73338.76
1711,72505.63
1712,71729.96
1713,70689.97
1714,69814.22
1715,68938.01
1716,68222.28
1717,67719.81
1718,67078.91
1719,66231.01
1720,66192.74
1721,65316.020000000004
1722,64478.62
1723,63982.57
1724,63209.58
1725,62518.03
1726,62079.97
1727,61522.92
1728,60544.4
1729,59815.18
1730,59571.01
1731,59082.28
1732,58231.24
1733,57725.020000000004
1734,57189.4
1735,56987.28
1736,56487.57
1737,56048.0
1738,55895.229999999996
1739,55414.03
1740,55719.59
1741,55501.38
1742,55319.58
1743,54660.84
1744,55247.31
1745,55166.37
1746,54911.19
1747,54966.88
1748,55138.5
1749,55062.58
1750,54754.979999999996
1751,54695.13
1752,55119.78
1753,55391.31
1754,55467.19
1755,56247.69
1756,57247.770000000004
1757,57835.66
1758,58494.03
1759,59385.93
1760,60554.5
1761,61580.2
1762,62217.99
1763,62989.61
1764,63979.92
1765,64697.770000000004
1766,65570.09
1767,65816.45
1768,66214.04
1769,66492.46
1770,66834.04
1771,66782.14
1772,67007.4
1773,66953.42
1774,67233.91
1775,67243.68
1776,66615.15
1777,66322.31
1778,65797.59
1779,65282.13
1780,64896.58
1781,63968.55
1782,63614.25
1783,63155.39
1784,62860.93
1785,62452.95
1786,62084.62
1787,61832.6
1788,62017.03
1789,62127.05
1790,61923.01
1791,61894.93
1792,62323.08
1793,62678.1
1794,63297.17
1795,64107.26
1796,65907.85
1797,67171.67
1798,68085.86
1799,68048.79
1800,68249.63
1801,68201.93
1802,68084.75
1803,67726.07
1804,67173.32
1805,66609.23
1806,66016.07
1807,65492.3
1808,64275.32
1809,63016.020000000004
1810,62068.29
1811,61312.44
1812,61005.55
1813,60623.03
1814,60180.51
1815,60010.2
1816,60776.84
1817,60304.64
1818,59775.29
1819,59357.58
1820,59035.35
1821,58729.82
1822,58250.26
1823,57755.49
1824,56915.87
1825,56342.4
1826,55936.71
1827,55668.12
1828,54795.06
1829,54568.25
1830,54152.91
1831,53774.66
1832,53628.64
1833,53234.35
1834,53083.15
1835,52759.89
1836,52596.88
1837,52526.78
1838,52337.95
1839,52405.63
